ncessch,zip,locale,title1_status,total_n,fr_lnch_n,red_lnch_n,pupil_tch_ratio,ipr_est,st_schid,lea_cwiftest,fr_lnch_prop,red_lnch_prop,enrl_grd,percent_level_4,percent_level_3,percent_level_2,percent_level_1,wealth_prop,mid_prop,pov_prop,bachelors_pct,high_school,no_diploma_pct,high_ed
410204004178,97402,12-City: Mid-size,6-Not eligible for either TAS or SWP,99,49,9,11.25,245,3566,0.88,0.494949494949495,0.09090909090909091,NA,NA,NA,NA,NA,0.020972574325881538,0.3060613044480295,0.2867020050702927,14.5,25.4,7.1,7.3
410231000254,97415,33-Town: Remote,5-Eligible for Title I SWP provides SWP program,730,375,64,20.28,246,236,0.836,0.5136986301369864,0.08767123287671233,3,16.5,25.2,24.5,33.8,0.03330625507717303,0.24857839155158407,0.3013809910641755,13.4,29.8,6,9.7
410231000254,97415,33-Town: Remote,5-Eligible for Title I SWP provides SWP program,730,375,64,20.28,246,236,0.836,0.5136986301369864,0.08767123287671233,4,21.6,25.5,22.5,30.4,0.03330625507717303,0.24857839155158407,0.3013809910641755,13.4,29.8,6,9.7
410231000254,97415,33-Town: Remote,5-Eligible for Title I SWP provides SWP program,730,375,64,20.28,246,236,0.836,0.5136986301369864,0.08767123287671233,5,17.3,26.4,17.3,39.1,0.03330625507717303,0.24857839155158407,0.3013809910641755,13.4,29.8,6,9.7
410171000034,97814,43-Rural: Remote,6-Not eligible for either TAS or SWP,28,NA,NA,17.28,236,5,0.889,NA,NA,3,NA,NA,NA,NA,0.018018018018018018,0.3153153153153153,0.1891891891891892,15,30,8.5,7.1
410171000034,97814,43-Rural: Remote,6-Not eligible for either TAS or SWP,28,NA,NA,17.28,236,5,0.889,NA,NA,4,NA,NA,NA,NA,0.018018018018018018,0.3153153153153153,0.1891891891891892,15,30,8.5,7.1
410171000034,97814,43-Rural: Remote,6-Not eligible for either TAS or SWP,28,NA,NA,17.28,236,5,0.889,NA,NA,5,NA,NA,NA,NA,0.018018018018018018,0.3153153153153153,0.1891891891891892,15,30,8.5,7.1
410171000034,97814,43-Rural: Remote,6-Not eligible for either TAS or SWP,28,NA,NA,17.28,236,5,0.889,NA,NA,6,NA,NA,NA,NA,0.018018018018018018,0.3153153153153153,0.1891891891891892,15,30,8.5,7.1
411082000793,97303,22-Suburb: Mid-size,5-Eligible for Title I SWP provides SWP program,712,441,65,19.67,348,747,0.902,0.6193820224719101,0.09129213483146068,3,7.5,17.5,20.8,54.2,0.029906542056074768,0.26114819759679575,0.19465954606141522,15.8,25.5,7.1,8.2
411082000793,97303,22-Suburb: Mid-size,5-Eligible for Title I SWP provides SWP program,712,441,65,19.67,348,747,0.902,0.6193820224719101,0.09129213483146068,4,11.5,21.2,20.4,46.9,0.029906542056074768,0.26114819759679575,0.19465954606141522,15.8,25.5,7.1,8.2
411082000793,97303,22-Suburb: Mid-size,5-Eligible for Title I SWP provides SWP program,712,441,65,19.67,348,747,0.902,0.6193820224719101,0.09129213483146068,5,10.1,34.5,23.5,31.9,0.029906542056074768,0.26114819759679575,0.19465954606141522,15.8,25.5,7.1,8.2
410600000534,97080,21-Suburb: Large,6-Not eligible for either TAS or SWP,517,409,36,23.5,368,1313,0.996,0.7911025145067698,0.06963249516441006,3,25,28.8,23.8,22.5,0.04011030333416896,0.228127350213086,0.1647029330659313,16,26.1,4.9,9.1
410600000534,97080,21-Suburb: Large,6-Not eligible for either TAS or SWP,517,409,36,23.5,368,1313,0.996,0.7911025145067698,0.06963249516441006,4,26.8,20.7,23.2,29.3,0.04011030333416896,0.228127350213086,0.1647029330659313,16,26.1,4.9,9.1
